,Netherlands,Belgium,Luxembourg,Germany,Gfrance,Italy,UK,Ireland,Denmark,Greece
Netherlands,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Belgium,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Luxembourg,0.25,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Germany,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5
Gfrance,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5
Italy,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5
UK,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5
Ireland,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5
Denmark,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5
Greece,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0
