,Bosnia,Serbia,Moldova,Finland,"UKR, Kiev","UKR, Western Ukraine less Kiev","UKR, Eastern Ukraine","NATO, sans USA","NATO, the United States",Sweden,Russia
Bosnia,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Serbia,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Moldova,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Finland,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"UKR, Kiev",0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5
"UKR, Western Ukraine less Kiev",0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5
"UKR, Eastern Ukraine",0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5
"NATO, sans USA",0.5,0.5,0.5,0.5,0.5,0.5,0.5555555555555555,1.0,0.5,0.5,0.5
"NATO, the United States",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5
Sweden,0.5,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5
Russia,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0
